CODCAR;CODVIA;NOMCAR
8700;CA;A
15;CA;A.CREUS 'LO PACHECO'
8590;CA;ABAT ESCARRE
5620;CA;ACACIA
20;CA;ACADEMIA
2930;CA;AGELET I GARRIGA
40;CA;AGER
25;CA;AGRAMUNT
55;CA;AGUSTI DURAN I SANPERE
85;PG;AGUSTI DURAN I SANPERE
50;CA;AGUSTINS
75;PL;AIGUA
45;CA;AIGUES TORTES
53;AV;ALACANT
70;CA;ALAMUS
60;CA;ALANDIR
8852;CA;ALBAGES
4421;CA;ALBAREDA - LLIVIA
5530;AV;ALBARES
480;PD;ALBARES
5180;CA;ALBERT COMA I ESTADELLA
5225;CA;ALBERT PORQUERAS
90;CA;ALCALDE COSTA
95;JA;ALCALDE ESTADELLA
100;CA;ALCALDE FUSTER
110;CA;ALCALDE MESTRE
120;PQ;ALCALDE PONS
130;AV;ALCALDE PORQUERAS
140;AV;ALCALDE PUJOL
160;AV;ALCALDE ROVIRA ROURE
170;CA;ALCALDE SOL
1950;CA;ALCALDE VIVES
1955;CA;ALCANO
5785;CA;ALCARRAS
5610;CA;ALENTORN
8935;CA;ALFARRAS
190;CA;ALFES
200;CA;ALFONS II
2200;CA;ALFRED PEREÑA
210;CA;ALGERRI
215;CA;ALGUAIRE
225;CA;ALMACELLES
5725;CA;ALMENAR
245;CA;ALMERIA
221;CA;ALMIRALL FOLCH
230;CA;ALMODI VELL
255;PL;ALMUDEFAR - LLIVIA
240;PD;ALPICAT
260;CA;ALSAMORA
7630;CA;ALTA - SUCHS
2240;CA;AMBAIXADOR ESPENS
270;CA;AMICS DE LLEIDA
271;PL;AMICS DE LLEIDA
265;CA;AMICS DEL FFCC
272;PL;AMISTAT
275;AV;AMPOSTA
285;CA;AMSTERDAM
290;CA;ANASTASI PINOS
2085;PL;ANDALUCIA
2090;CA;ANDREU D'ESPENS
2490;CA;ANETO
295;CA;ANGEL MONCUSI
440;CA;ANOIA
305;CA;ANSELM CHARLES
300;CA;ANSELM CLAVE
8605;CA;ANTIC CAMI DEL MURRI
310;CA;ANTONI AGUSTI
315;CA;ANTONI BERGOS I MASSO
325;CA;ANTONI BLAVIA
335;CA;ANTONI CANTANO
5125;CA;ANTONI GUIX I RIBELLES
320;CA;ANTONI SOLE
4422;CA;ANTONI VILAPLANA - LLIVIA
330;CA;APOSTOL SANT JAUME
340;RA;ARAGO
6345;CA;ARAGO - RAIMAT
350;CA;ARAJOL
365;CA;ARBECA
360;CA;ARBOLO
8615;CA;ARBORETUM
380;CA;ARC DEL PONT
385;CA;ARGENTINA
390;CA;ARIBAU
395;PL;ARMATS DE LA SANG
400;CA;ARNALD DE SOLSONA
510;CA;ARQUITECTE BERGOS
520;CA;ARQUITECTE CAMPMANY
530;CA;ARQUITECTE CASES
535;CA;ARQUITECTE CELLES
405;CA;ARQUITECTE DOMENECH I TORRES
505;CA;ARQUITECTE FLORENSA
420;CA;ARQUITECTE GAUDI
500;CA;ARQUITECTE GOMA
550;CA;ARQUITECTE IGNASI MIQUEL
525;CA;ARQUITECTE LAMARCA
415;CA;ARQUITECTE MORERA I GATELL
515;CA;ARQUITECTE PORQUERAS
540;CA;ARQUITECTE VILLALONGA
430;AV;ARTESA
445;CA;ARTUR MOR
455;CA;ARTUR VIVES
7233;CA;ASPA
450;CA;ASSALT
470;CA;ASSUMPCIO
460;PD;ASTO
8863;CA;ASTURIES
5235;CA;AUGUST FONT
8205;AV;AURELIA PIJOAN
8625;PL;AUREMBIAIX D'URGELL
5625;CA;AVET
3750;GR;AVINGUDA DE MADRID
8701;CA;B
580;CA;BAFART
590;CA;BAIXADA DE L'AUDIENCIA
1190;CA;BAIXADA DE LA TRINITAT
5715;CA;BALADRE
595;AV;BALAFIA
600;PD;BALAFIA
605;PL;BALAFIA
610;CA;BALAGUER
635;ZO;BALCO DELS CASTELLERS
5185;CA;BALDOMER GILI I ROIG
630;CA;BALLESTER
620;AV;BALMES
2910;GL;BALTASAR GRACIAN
640;CA;BARBASTRO
650;AV;BARCELONA
655;CT;BARCELONA
656;PL;BARCELONA
680;CA;BARO D'EROLES
670;CA;BARO DE CASA FLEIX
690;CA;BARO DE MAIALS
695;PG;BARQUES DEL TOFOL
4405;PL;BAULIES
1310;CA;BEAT FRANCESC CASTELLO ALEU
700;CA;BEATA JORNET
710;CA;BELLAVISTA
725;CA;BENABARRE
740;CA;BENVINGUDA
730;CA;BERENGUER PRENAFETA
4280;CA;BICIBERRI
750;CA;BINEFAR
5390;CA;BISBE
5400;CA;BISBE GALINDO
5420;CA;BISBE IRURITA
5430;CA;BISBE MESSEGUER
5440;CA;BISBE RUANO
5450;CA;BISBE TORRES
1820;CA;BLANQUERS
1830;PL;BLAS INFANTE
8324;PL;BLAT
760;AV;BLONDEL
770;CA;BOBALA
8317;CA;BOIRA
785;CM;BOIXADORS
780;PD;BOIXADORS
8135;CA;BOMBERS
920;CA;BON PASTOR
790;CA;BONAIRE
800;CA;BONIFACI VIII
810;CA;BOQUE
820;PL;BORES
830;CA;BORGES BLANQUES
840;CA;BORRAS
850;PG;BOTANIC BLET
860;CA;BOTERA
870;CA;BOTERS
7650;CA;BOU - SUCHS
880;CA;BOVA
890;PD;BOVA
930;CA;BOVERA
915;CA;BRASIL
2394;CA;BRIDA
900;CA;BRUC
910;TR;BRUC
1045;CM;BUROT
940;PD;BUTSENIT
8702;CA;C
945;PG;CACERES
955;PG;CADIZ
5545;CA;CAL BERNET
7675;CA;CALANDRIA - SUCHS
970;CA;CALDERERIES
980;CA;CALIXTE III
8215;CA;CAMBRILS
1000;CA;CAMI DE CORBINS
1010;CA;CAMI DE GRANYANA
1020;CA;CAMI DE MARIMUNT
1040;CA;CAMI DE PICOS
1041;TR;CAMI DE PICOS
4436;CA;CAMI DEL NORD - LLIVIA
4743;CA;CAMI TORRE BLANCA
1050;CA;CAMI VELL D'ALBATARREC
1090;CA;CAMP
2890;CA;CAMP DE MART
1100;PD;CAMP-RODO
1060;CA;CAMPAMENT
1080;CA;CAMPINYA
1110;CA;CANAL
6355;CA;CANAL - RAIMAT
2390;MD;CANDI VILAFAÑE
1120;PD;CANET
2640;CA;CANIGO
1130;CA;CANONGE BRUGULAT
1150;CA;CANONGE GONZALEZ
1125;CA;CANTABRIA
1160;PD;CAPARRELLA
1175;PG;CAPITA FARRE
1210;CA;CAPPONT
1211;PL;CAPPONT
1220;CA;CARDENAL CISNEROS
1230;CA;CARDENAL REMOLINS
1240;TR;CARDENAL REMOLINS
1243;CA;CARESMAR - LLIVIA
5350;CA;CARLES FONTSERE
1260;CA;CARME
1270;TR;CARME
7665;TR;CARME - SUCHS
1295;JA;CARME AMAYA
5525;CA;CARME LAFORET
1275;CA;CARMELITES
7660;CA;CARMEN - SUCHS
1280;CA;CARNICERIES
8175;TR;CARRER DE LA PLATERIA
1285;CA;CARRERO - SUCHS
1290;CA;CARTOIXA TELM
7670;CA;CASA GRAN,EFA - SUCHS
1300;CA;CASAGUALDA
8260;PL;CASES REGIONALS
1165;CA;CASIMIR VILA
5695;CA;CASTANYER
6365;CA;CASTELL - RAIMAT
1307;CA;CASTELL D'ARANYO
1303;CA;CASTELL D'ARBECA
1302;CA;CASTELL DE FARFANYA
1309;CA;CASTELL DE GARDENY
1306;CA;CASTELL DE MALDA
5360;CA;CASTELL DE MONTCLAR
1304;CA;CASTELL DE MUR
1305;CA;CASTELL DE RIBELLES
1308;CA;CASTELL DE VERDU
1301;CA;CASTELL FORMOS
250;CA;CASTELLA
251;PL;CASTELLA
3680;CA;CASTELLDANS
5335;CA;CATALPA
1330;AV;CATALUNYA
1340;PL;CATEDRAL
1345;PL;CATERINA ALBERT
950;CA;CAVALLERS
8295;CA;CELESTI POL
1360;CA;CENTRE
1372;PD;CERDERA ALTA
1374;PD;CERDERA BAIXA
1370;PL;CERVANTES
1380;CA;CERVERA
1390;CA;CERVIA
8255;AV;CHARLES DARWIN
1400;CA;CID
1520;CA;CIUTADELLA
1500;CA;CIUTAT DE FRAGA
1510;CA;CIUTAT DE TARREGA
5595;AV;CIUTAT JARDI
4423;CA;CLADELLERS - LLIVIA
1535;PL;CLARA CAMPOAMOR
1530;CA;CLAVELL
1540;CA;CLOT DE LES MONGES
1550;CA;COBATILLAS ALTAS
1566;PD;COGULLADA TERMINO
1570;CA;COL.LEGI
1575;CA;COLOMBIA
1610;CA;COMERÇ
1620;CA;COMPANYIA
1640;CA;COMTE DE RUEDA
1660;CA;COMTE DE VINATESA
1670;CA;COMTES D'URGELL
1680;CA;COMTESSA ELVIRA
3220;CA;CONCA DE BARBERA
4940;CA;CONCORDIA
1685;PL;CONSTITUCIO
5565;CA;COPA D'OR
1690;PD;COPA D'OR
1695;CT;CORBINS
6950;CA;CORDOBA
1700;CA;CORREGIDOR ESCOFET
1710;CA;CORREGO
1720;CA;CORREU VELL
2020;CA;CORTS CATALANES
1730;CA;COS-GAYON
1790;CA;COSTA DEL JAN
7610;CA;COSTA DELS MAGRANERS
1800;CA;COSTA MAGDALENA
1560;CA;COTXERA
1565;TR;COTXERA
1738;CA;CREU BASELLA - LLIVIA
1740;CA;CRISTOFOL DE BOLEDA
1750;CA;CRONISTA MUNTANER
1405;CA;CUENCA
8326;PQ;CUIRASSA
1810;PD;CUNILLAS
8703;CA;D
8825;CA;D'HENRI DUNANT
1930;CA;DANIEL
8081;CA;DARRERA SEMINARI
1940;CA;DAUNOIS
8820;PL;DE L'HORT DE SANTA TERESA
1995;CA;DE LA CERDERA
4295;CA;DE LA COMA DE SANTA FE -LLIVIA
6432;PL;DE LA VEREMA - RAIMAT
5190;PL;DE LA VINYA - RAIMAT
8365;PL;DE LES VALLS
6436;CA;DEL CABERNET - RAIMAT
1945;CA;DEL CANYERET
6440;CA;DEL CHARDONAY - RAIMAT
6442;CA;DEL MACABEU - RAIMAT
6438;CA;DEL MERLOT - RAIMAT
6375;CA;DEL NORD - RAIMAT
6434;CA;DEL PARELLADA - RAIMAT
6444;CA;DEL TEMPRANILLO - RAIMAT
8815;PL;DEL 8 DE MARÇ
7635;AV;DEL 8 DE MARÇ - SUCHS
8090;PL;DELS FANALETS DE S. JAUME
1760;PL;DELS GRAMATICS
1765;CA;DELS PINS
7745;CA;DELS PINS - SUCHS
6820;CA;DEMOCRACIA
1970;CA;DESCALÇOS
1971;TR;DESCALÇOS
1960;PL;DIPOSIT
4425;CA;DIPOSITS - LLIVIA
6425;DI;DISSEMINAT - RAIMAT
7705;DI;DISSEMINAT - SUCHS
2046;CA;DOCTOR BIOSCA
2010;CA;DOCTOR CAMBRODI
2030;CA;DOCTOR COMBELLES
2035;PG;DOCTOR COMBELLES
2045;CA;DOCTOR ESTOPA
2040;AV;DOCTOR FLEMING
2015;CA;DOCTOR JAUME MELCIOR
2025;CA;DOCTOR RAMON PIGEM
8885;CA;DOCTOR TRUETA
2056;CA;DOCTOR ZAMMENHOFF
2060;CA;DOCTORA CASTELLS
8195;CA;DOCTORA DOLORS ALEU
2070;CA;DOLORS
6910;CA;DOLORS 'LOLIN' SABATE
2125;PL;DOLORS PIERA
8906;CA;DOLORS SISTAC
2080;CA;DOMENEC DE MIGUEL
2145;PL;DONA TREBALLADORA DE MAGRANERS
2095;PL;DRETS HUMANS
2075;CA;DUKE ELLINGTON
8704;CA;E
2110;CA;E.PUBILL 'LO PARRANO'
2100;PL;EDIL SATURNINO
8322;CA;EDITH PIAF
2207;CA;EDUARD TOLDRA
2210;CA;EDUARD VELASCO
3260;CA;EL BAGES
6520;CA;EL BERGUEDA
6125;PD;EL BOU
5735;CA;EL COGUL
6126;PD;EL FONS
6650;CA;EL MONTSIA
6060;CA;EL PENEDES
3180;CA;EL PRIORAT
6250;CA;EL RIPOLLES
7970;CA;EL VALLES
3580;CA;ELENA PAMIES
8145;PL;ELISENDA DE MONTCADA
2065;CA;ELS BEATLES
4300;CA;ELS ERALS
7690;CA;ELS HORTS - SUCHS
7685;TR;ELS HORTS - SUCHS
4320;CA;ELS RAMS
8265;PL;EMILI SUBIAS
280;PG;EMPORDA
6335;CA;EMPORDA - RAIMAT
2250;PD;EMPRESEGUERA
2120;PL;ENCARNA LOPEZ
3565;CA;ENGINYER ANTONI LLOBET
3500;CA;ENGINYER CELLERS
8953;CA;ENGINYER MIAS
8954;CA;ENGINYER PABLO AGUSTIN
3560;CA;ENGINYER SANTI COMPANYS
8620;CA;ENRIC ARDERIU
545;CA;ENRIC CROUS
8904;CA;ENRIC FARRENY
2260;CA;ENRIC GRANADOS
2130;CA;ENRIC ROCA PERALTA
7680;PD;ENTITAT DE SUCHS
2267;CA;ERA VAL D'ARAN
2270;CA;ERETA
2280;PL;ERETA
2290;CA;ERMENGOL VI
2296;JA;ERNEST LLUCH
2300;CA;ESCALES SANT LLORENÇ
2305;PL;ESCOLA
2385;CA;ESCOLA NORMAL DE LLEIDA
2310;CA;ESCOLES
7715;CA;ESCOLES - SUCHS
8286;CA;ESCOLES DE RAIMAT
8285;PS;ESCOLES DE RAIMAT
2320;CA;ESCULTOR CORSELLES
2330;CA;ESCULTOR GUALTER
6392;CA;ESGLESIA - RAIMAT
8316;PL;ESPAI DELS GEGANTS
8190;ZO;"ESPAI INFANTIL ""ROVELLO"""
2000;PL;ESPANYA
8580;CA;ESPERANÇA GONZALEZ
2335;CA;ESPIGOL
8055;CA;ESTANY D'IVARS
2315;PL;ESTEVE CUITO
2325;AV;ESTUDI GENERAL
2337;PG;ESTUDIANTS
5330;CA;EUCALIPTUS
2495;CA;EUGENI D'ORS
2505;PL;EUROPA
8940;CA;EUZKADI
2370;CA;EX CAMI D'ALPICAT
2220;AV;EXERCIT
2230;PL;EXERCIT
2380;CA;EXTREMADURA
2381;TR;EXTREMADURA
8705;CA;F
2655;PL;FEDERICA MONTSENY
2510;CA;FELIP DE SILVA
2520;PD;FEMOSA
2540;CA;FERRAN EL CATOLIC
1350;CA;FERRAN RAMBLA
220;CA;FERRARA
8120;CA;FERRO
2545;PL;FERROVIARIS
2550;AV;FLIX
2555;CA;FLOR DE LIS
2560;CA;FLORIDA
1200;CA;FOLCH I TORRES
2670;CA;FONT DE L'AIGUARDENT
8185;PL;FONT DELS TRITONS
2675;GL;FONT I QUER
2680;CA;FONT NOVA
2580;CA;FONTANELLES
2589;AV;FONTANET
2590;PD;FONTANET
8270;PL;FONTANET
2600;PD;FONTANET LO CURT
6370;CA;FORMIGO - RAIMAT
2620;CA;FRAGA
2625;PL;FRANÇA
5110;CA;FRANCESC ARGILES I BIFET
5105;CA;FRANCESC BORDALBA I MONTARDIT
3740;AV;FRANCESC MACIA
2650;CA;FRANCESC MOLI
2660;TR;FRANCESC MOLI
2645;CA;FRANCESC PORTA I VILALTA
2636;JA;FRANCESC SOLANA
2635;CA;FRANCESC SOLANA I FORTUÑO
5575;PL;FRANCESC VIADIU
5555;PL;FRANCISCO MONTALBAN
4410;PL;FRANCISCO SANJUAN
5560;CA;FRANJA DE PONENT
2665;CA;FREDERIC RIU FARRE
2830;CA;GAIROLES
2790;CA;GALERA
8860;CA;GALICIA
8830;PL;GALICIA
8250;AV;GALILEO GALILEI
2690;CA;GANDESA
8929;CA;GANDHI
2795;CA;GARCIA LORCA
2780;PQ;GARDENY
3170;CA;GARRAF
2800;AV;GARRIGUES
8325;PL;GARROTIN
2820;GR;GASPAR DE PORTOLA
2840;CA;GENERAL
2860;CA;GENERAL BRITO
3290;CA;GERMANES MIRABAL
3160;CA;GERMANETES
8907;AV;GERMANIES
3240;CA;GERMANS IZQUIERDO
3270;CA;GERMANS PIGNATELLI
3280;CA;GERMANS QUERALT
2895;CA;GINESTA
2900;CA;GIRONA
6455;CA;GOLF DE RAIMAT
2920;CA;GOVERNADOR MONCADA
2940;CA;GOYA
8321;CA;GOYESCAS
2950;CA;GRALLERA
4432;CA;GRAN - LLIVIA
2980;PS;GRAN PASSEIG RONDA
2955;CA;GRANADA
2960;CA;GRANADELLA
2970;PL;GRANADOS
3010;PD;GRANYENA
3000;PD;GREALO
4426;CA;GREALO - LLIVIA
5645;CA;GREVOL
7755;CA;GRUP ARTESANS - SUCHS
3030;CA;GUILLEM BOTET
3040;CA;GUILLEM DE BEZIERS
3050;PD;GUINDAVOLS
8706;CA;H
3310;PL;HISPANOAMERICA
180;CA;HISTORIADOR JOSEP LLADONOSA
4427;CA;HORTA - LLIVIA
3320;CA;HOSPITALERS DE SANT JOAN
3330;CA;HOSTAL DE LA BORDETA
3350;PG;HUELVA
7300;CA;HUMBERT TORRES
8707;CA;I
3450;CA;IGNASI BASTUS
3460;CA;IGUALADA
3475;PG;ILLES BALEARS
3470;CA;IMPRESSOR BOTEL
3480;CA;INDEPENDENCIA
3490;CA;INDIVIL I MANDONI
8950;AV;INDUSTRIA
3540;PL;INFANTS - SUCHS
3550;CA;IRENE SOLSONA
1170;CA;ISAAC ALBENIZ
3515;PL;ISABEL ARQUE
3510;CA;ISABEL II
3520;CA;ISERN
3530;CA;ISONA
8585;CA;IVARS D'URGELL
8708;CA;J
3570;CA;J.LUIS GONZALEZ MINGUEZ
3640;CA;JAEN
3690;CA;JARDI
3650;CA;JAUME D'AGRAMUNT
5300;PL;JAUME GORT
3660;CA;JAUME I CONQUERIDOR
3670;CA;JAUME II
3675;JA;JAUME MAGRE
3677;PL;JAUME RUBIO
3700;CA;JERONI PUJADES
5585;PL;JESUS MONCADA
3710;PD;JESUSET
1590;CA;JOAN BAGET
3775;CA;JOAN BAPTISTA XURIGUERA
1645;CA;JOAN CULLERE
1595;CA;JOAN DEL REI
8610;CA;JOAN FUSTER
3770;CA;JOAN GAVARRA
3715;CA;JOAN MIRO
3725;PQ;JOAN ORO
3685;PL;JOAN SANTAMARIA
3785;PL;JOAN VILAGRASA
3780;PL;JOAN XXIII
80;AV;JOANA RASPALL
5535;CA;JOAQUIN COSTA
3720;CA;JOC DE LA BOLA
3719;PG;JOC DE LA BOLA
5745;PQ;JOC DE LA BOLA
3810;CA;JOGLAR SEGALA
3825;CA;JORDI CORTADA
2160;CA;JORDI DAUDER
2135;CA;JORDI PLENS SOLA
3815;CA;JORDI SOLE TURA
3755;CA;JOSE OLONDRIZ OSTIZ
3745;PL;JOSEFINA BARREU
8952;CA;JOSEP BARO TRAVE
8300;CA;JOSEP BETRIU
8310;PL;JOSEP BONEU
3735;CA;JOSEP CARNER
8170;PL;JOSEP ESTADELLA
3760;CA;JOSEP FONTSERE
5345;CA;JOSEP M. ALBA
8305;CA;JOSEP M. MINGUELLA
3765;CA;JOSEP PALLACH
8570;PL;JOSEP PIÑOL
3738;CA;JOSEP PLA
3790;PL;JOSEP PRENAFETA
5120;CA;JOSEP SARRATE I FORGA
8951;CA;JOSEP SEGURA FARRE
5090;PL;JOSEP SOLANS
5100;CA;JOSEP VIOLA I GAMON
5095;PL;JOSEP WEHRLE
3800;CA;JUERIA
3820;CA;JULI CESAR
3830;CA;JUNEDA
3850;CA;JUPITER
8709;CA;K
8710;CA;L
8959;CA;L'ADUANA
4050;CA;L'ALBI
4040;CA;L'ALGUER
1630;CA;L'ENSENYANCA
8180;PL;L'ENSENYANCA
4158;PL;L'ESCORXADOR
1635;PL;L'ESPLAI
6350;CA;L'ESTACIO - RAIMAT
7695;PL;L'HORTA - SUCHS
5540;AV;LA CANADIENSE
1990;CA;LA CERDANYA
6127;PD;LA CLAMOR
4060;CA;LA CORT
4070;PD;LA CORT
4075;CA;LA CORUÑA
4080;CA;LA CREU
4170;CA;LA CREU DEL BATLLE
7735;CA;LA FONT - SUCHS
8956;CA;LA FORNAL
8957;CA;LA FUSTA
3250;CA;LA GARROTXA
4429;CA;LA GRALLERA - LLIVIA
3255;CA;LA LLUM
4030;CA;LA MANCHA
4875;RA;LA MERCE
4090;CA;LA MESQUITA
