CODCAR;CODVIA;NOMCAR
8958;CA;LA MINERIA
370;CA;LA NOGUERA
4100;CA;LA PALMA
5710;CA;LA PALOMA
4110;CA;LA PARRA
4130;GR;LA PAU
4120;PL;LA PAU
7700;JA;LA PAU - SUCHS
4431;CA;LA PAZ - LLIVIA
5971;PD;LA PLANA
5975;PD;LA PLANA - SUCHS
4145;CA;LA PORTELLA
10;CA;LA RIOJA
4020;PL;LA RIOJA
4140;PL;LA SAL
2630;CA;LA SELVA
8955;CA;LA SIDERURGIA
4150;CA;LA SUDA
4152;CA;LAMARCA
4154;GR;LANDELINO LAVILLA
4157;CA;LAS ALPUJARRAS
4225;CA;LAUREA FIGUEROLA
4275;CA;LEANDRE CRISTOFOL
4260;CA;LERIDA
4285;CA;LES AVELLANES
4160;PQ;LES BASSES
4165;CA;LES CANALS
4282;PD;LES CANALS
5195;JA;LES MAGNOLIES
6390;CA;LES MONGES - RAIMAT
4180;CA;LES PASSADORES
4200;CA;LES ROSES
1600;CA;LLIBERTAT
4290;CA;LLITERA
4420;PD;LLIVIA
4440;CA;LLOPIS
8960;CA;LLORENÇ AGUSTI CLAVERIA
5315;CA;LLORER
4270;CA;LLORERS
4460;CA;LLUIS BESA
8390;CA;LLUIS COMPANYS
8010;CA;LLUIS MILLET
4470;CA;LLUIS ROCA
8319;CA;LLUNA
5580;PL;LO MARRACO
4450;CA;LUDOVICUS PIUS
8711;CA;M
4455;CA;M.CARRASCO FORMIGUERA
4590;AV;MADRID
4610;CA;MAGDALENA
4620;CA;MAGI MORERA
2150;PL;MAGRANA
8320;CA;MAHALTA
4830;CA;MAIALS
4840;CA;MAJOR
6380;CA;MAJOR - RAIMAT
6446;PL;MAJOR - RAIMAT
7720;CA;MAJOR - SUCHS
7725;PL;MAJOR - SUCHS
7726;TR;MAJOR - SUCHS
4845;PG;MALAGA
4630;PD;MALGOVERN
5135;CA;MANRESA
2155;CA;MANUEL CARBELO GONZALEZ
6670;CA;MANUEL DE FALLA
4660;CA;MANUEL DE MONTSUAR
4635;CA;MANUEL DE PEDROLO
4670;CA;MANUEL DEL PALACIO
4640;CA;MANUEL FLORENSA
4675;CA;MANUEL GAYA I TOMAS
4678;PL;MANUEL GIRO
8280;PS;MANUEL RAVENTOS
4641;PG;MANUEL SEBASTIAN
4680;CA;MARAGALL
4700;CA;MARANYOSA
4580;CA;MARE DOLCET
7265;PL;MARE SANTA CLARA
5365;CA;MARGARIDA XIRGU
4705;PL;MARIA AURELIA CAPMANY
1795;JA;MARIA MERCE MARÇAL
5520;CA;MARIA MONTESSORI
8840;PL;MARIA ROSELL
8835;PL;MARIA RÚBIES I GARROFÉ
4710;CA;MARIA SAURET
8323;CA;MARIA TERSA
4715;CA;MARIA VILALTELLA
5515;CA;MARIE CURIE
4725;AV;MARIMUNT
4720;PD;MARIMUNT
4433;CA;MARINADA - LLIVIA
4730;CA;MARIOLA
6260;GR;MARIOLA
4741;PD;MARIOLA
4740;FA;MARIOLA-FALDA GARDENY
4755;PL;MARIUS CARRETERO
4750;CA;MARIUS TORRES
5746;PQ;MARIUS TORRES
4760;CA;MARQUES DE LEGANES
4780;CA;MART
5590;PL;MARTA MATA
4790;CA;MARTI GRALLA
4810;CA;MARTOS
5675;CA;MELIA
4880;CA;MENARGUENS
4870;CA;MEQUINENSA
4885;JA;MERCE RODOREDA
7805;CA;MERCURI
7710;CA;MESTRE - SUCHS
4690;CA;MESTRE EMILI PUJOL
4600;CA;MESTRE JOAN D'AVILA
4605;PL;MESTRE SERRA
8908;CA;MESTRE TONET
4850;CA;METGE ABIATAR
4860;CA;METGE MERCE
4742;CA;MIG CAMI
7730;CA;MIGDIA - SUCHS
4925;PL;MIGUEL SERVET
4890;PG;MIQUEL ARAGONES
4895;AV;MIQUEL BATLLORI
4905;PL;MIQUEL COSTA ORTEGA
4900;CA;MIQUEL DE CORTIADA
4910;PG;MIQUEL FARGAS
4915;CA;MIQUEL HERNANDEZ
8140;PL;MIQUEL ROIG
4920;CA;MIQUEL SERRA
4930;PL;MISSIONS
5570;PL;MOLI DE SANT ANASTASI
4950;CA;MOLLERUSSA
4968;CA;MONESTIR D'AVINGANYA
4967;CA;MONESTIR DE GERRI
4969;CA;MONESTIR DE GUALTER
4966;CA;MONESTIR DE LES AVELLANES
4955;CA;MONESTIR DE LES FRANQUESES
4956;CA;MONESTIR DE POBLET
4965;CA;MONESTIR DE VALLBONA
4970;CA;MONGES
4975;GR;MONTALBAN - MAGRANERS
4960;PD;MONTCADA
2850;CA;MONTERREY
4990;CA;MONTPELLIER
4961;CA;MONTSERRAT ROIG
4980;CA;MONZON
4995;PL;MORAL-JURADO
5000;PD;MOREDILLA TERMINO
5685;CA;MORERA
5010;CA;MORISCOT
5020;CA;MOSSEN AMIC
8290;PL;MOSSEN ANTONI RUBIELLA
5030;PL;MOSSEN J.VERDAGUER
5040;CA;MOSSEN PELEGRI
5050;CA;MOSSEN REIG
5060;CA;MOSSEN SALVADOR
5070;CA;MOSSEN SOLE
5065;CA;MOSTAIN - LLIVIA
5080;CA;MURCIA
4820;CA;MUSIC VIVALDI
8712;CA;N
2050;CA;NADAL MEROLES
7390;CA;NARCIS MONTURIOL
5210;AV;NAVARRA
7771;CA;NAVARRA - SUCHS
5220;CA;NEPTU
165;CA;NEUS CATALA
5230;PL;NOGUEROLA
5240;CA;NOLIUS
5410;CA;NORD
7795;CA;NORD - SUCHS
5260;CA;NOSTRA SRA DEL CARME
5270;CA;NOSTRA SRA DEL MIG ARAN
5250;CA;NOSTRA SRA DELS ANGELS
5280;CA;NOU
4434;PL;NOVA - LLIVIA
8713;CA;O
5460;CA;OBRADORS
5470;CA;ODON FONOLL
5480;CA;OLIVER
5705;CA;OLIVERA
6128;PD;OLIVERAR
5490;GR;ONESIMO REDONDO
5500;CA;ONOFRE CERVERO
5505;PS;ONZE DE SETEMBRE
4437;CA;ORENETES - LLIVIA
8080;CA;ORFEO LLEIDATA
4445;CA;ORIOL MARTORELL
5510;PL;ORVEPARD
3340;CA;OSCA
8714;CA;P
5130;PL;PAÏSOS CATALANS
5215;PL;PABLO IGLESIAS
5660;CA;PAER CASANOVAS
5670;CA;PAER RUFES
5680;PL;PAERIA
7655;PL;PAGESIA - SUCHS
8396;PL;PAGESOS
5690;CA;PALAU
5700;CA;PALAUET
5720;CA;PALLARS
5730;CA;PANERA
5740;PL;PANERA
5780;CA;PARC
7740;CA;PARC - SUCHS
8275;PL;PARC DE L'AVENTURA - LLIVIA
4424;CA;PARDALS - LLIVIA
5750;PD;PARDINYES ALTES
5760;CA;PARDINYES BAIXES
5771;PD;PARDINYES BAIXES
5770;PG;PARDINYES BAIXES
5775;CA;PARE GABERNET
5650;PL;PARE NADAL
5655;CA;PARE PALAU
7365;PL;PARE SANAHUJA
1140;CA;PARE SOLER
4435;CA;PARTIDORS - LLIVIA
5765;CA;PASCUAL MADOZ - LLIVIA
8155;;PASSAREL·LA CAMPS ELISIS
8125;;PASSAREL·LA CIUTAT JARDI
2430;;PASSAREL·LA DEL TOFOL
2425;;PASSAREL·LA DELS FERROVIARIS
2420;;PASSAREL·LA LICEU ESCOLAR
8150;;PASSAREL·LA MARISTES
5805;PL;PATI DE LES COMEDIES
5790;PL;PATI DE MIQUELO
5795;PL;PAU CASALS
5630;CA;PAU CLARIS
5800;AV;PEARSON
6129;PD;PEDROS
5840;PD;PEIXA SOM.MES
6410;CA;PENEDES - RAIMAT
5380;CA;PEPITA CALVET
5375;PL;PEPITA CERVERA
5370;PL;PEPITA REIMUNDI
5825;CA;PEPITA SAGAÑOLES
5340;CA;PEPITA URIZ
5850;CA;PERALTA
5810;CA;PERE CAVASEQUIA
5815;CA;PERE DE CABRERA
5820;CA;PERE DE COMA
5830;CA;PERE DE SANT CLIMENT
8916;CA;PERIODISTA TRAPA
5835;CA;PERPINYA
990;CA;PI I MARGALL
5640;CA;PICA D'ESTATS
5860;CA;PICABAIX
8897;CA;PICASSO
5615;CA;PILAR FELIP
6420;CA;PINS - RAIMAT
5665;CA;PINTOR ALBERT VIVES
5635;CA;PINTOR BENSENY
5870;CA;PINTOR FERRER
5875;CA;PINTOR GARCIA LAMOLLA
5880;CA;PINTOR MORERA I GALICIA
7990;CA;PINTOR XAVIER GOSE
5915;AV;PINYANA
5900;CA;PIRINEUS
5890;AV;PIUS XII
660;GR;PLA
4400;AV;PLA D'URGELL
5905;PD;PLA DE CERDERA
5910;PD;PLA DE LLEIDA
5920;PD;PLA DE MONSO
5925;PD;PLA DE RAIMAT
935;CA;PLA DE SANTA MARIA
5960;PD;PLANA DE GENSANA
5970;PD;PLANA DEL BISBE
5980;CA;PLATERIA
5990;CA;PLEYAN DE PORTA
7815;CA;PLUTO
5995;CA;POBLA DE SEGUR
6000;CA;POCURULL
6011;PO;POL.INDUST. CAMI DELS FRARES
6013;PO;POL.INDUST. CREU DEL BATLLE
6010;PO;POL.INDUST. EL SEGRE
6014;PO;POL.INDUST. LES CANALS
6016;PO;POL.INDUST. LLEIDA PARK
6012;PO;POL.INDUST. MECANOVA
6015;PO;POL.INDUST. NEOPARK
6385;GR;POLVORIN - RAIMAT
6020;PG;POMPEU
6025;JA;POMPEU FABRA
7780;CA;PONENT - SUCHS
7785;TR;PONENT - SUCHS
2410;;PONT DE LA UNIVERSITAT
2415;;PONT DE PARDINYES
6005;CA;PONT DE SUERT
8130;;PONT JOC DE LA BOLA
2405;;PONT NOU
8160;;PONT PRINCEP DE VIANA
2400;;PONT VELL
6030;CA;PONTS
2870;AV;PRAT DE LA RIBA
6040;CA;PREMIA DE MAR
6050;PG;PREMSA
4805;AV;PRESIDENT JOSEP IRLA
4800;AV;PRESIDENT TARRADELLAS
6090;CA;PRINCEP DE VIANA
6100;PG;PRINCEP DE VIANA
6080;GR;PRINCEP JOAN CARLES
6430;CA;PRIORAT - RAIMAT
3230;CA;PROGRES
6110;CA;PRUDENCIO MURILLO
6120;CA;PUIGVERD
8715;CA;Q
6330;CA;QUATRE DE FEBRER - RAIMAT
1770;CA;QUATRE PILANS
1780;PD;QUATRE PILANS
8716;RO;R
8575;CA;RAFAEL ALBERTI
1785;CA;RAFAEL GRAS I D'ESTEVA
6325;CA;RAIMAT
6270;CA;RAMON ARGILES
6280;PL;RAMON BERENGUER IV
6290;CA;RAMON CASTEJON
2360;CA;RAMON LLULL
6265;CA;RAMON RAMOS ALVAREZ
6266;PL;RAMON RAMOS ALVAREZ
6305;CA;RAMON ROURE I CODOÑER
5550;CA;RAMON RUBIAL
6300;CA;RAMON SOLDEVILA
6310;CA;RAMON Y CAJAL
1180;PG;RAMON Y CAJAL
6320;CA;RASTRO
6485;PL;RECTOR DE VALLFOGONA
2393;CA;REGUERO
6550;CA;REI
6480;CA;REIAL
6500;CA;REJOLAR
6555;CA;REPUBLICA ARGENTINA
6540;CA;REPUBLICA DEL PARAGUAI
6545;CA;REUS
2391;CA;RIBOT
5115;CA;RICARD CALVET I SERRA
6560;PL;RICARD VIÑES
6600;CA;RIQUER
6570;CA;RIU
8866;CA;RIU BESOS
960;PG;RIU CANALETAS
6606;CA;RIU CINCA
1815;PG;RIU CORB
8872;CA;RIU EBRE
6580;CA;RIU ESSERA
6590;PL;RIU FLAMISELL
8867;CA;RIU FRANCOLI
5175;CA;RIU GARONA
7960;CA;RIU LLOBREGAT
6604;CA;RIU SIO
2350;CA;RIU TER
6655;JA;ROC PIFARRE
6645;CA;ROCA I LLETJOS
6610;CA;ROCA LABRADOR
8923;CA;RODA D'ISABENA
6620;CA;ROGER DE LLURIA
6625;CA;ROMANI
6450;CA;RONDA - RAIMAT
8318;CA;RONDA DE LA TERRA
6635;CA;RONDA LA SEU VELLA
6630;CA;RONDA SANT MARTI
150;AV;ROSA PARKS
6615;PL;ROSA SENSAT
6640;CA;ROSARI
6690;CA;ROSSINYOL
5605;CA;ROURE
6660;PD;RUFEA
8717;CA;S
6825;CA;S.SEGUI 'EL NOI DEL SUCRE'
5150;CA;SABADELL
6800;PL;SAGRADA FAMILIA
2880;CA;SALMERON
6710;CA;SALOU
8600;CA;SALVADOR ESPRIU
5325;CA;SALZE
6720;CA;SAMUEL GILI I GAYA
7240;CA;SANS I RIBES
6810;CA;SANT AGUSTI
1250;CA;SANT ANASTASI
1255;PQ;SANT ANASTASI - LLIVIA
6830;CA;SANT ANDREU
6840;CA;SANT ANTONI
7773;CA;SANT ANTONI - SUCHS
6850;PL;SANT ANTONI MARIA CLARET
6860;CA;SANT CARLES
6865;CA;SANT CRIST
6870;CA;SANT CRISTOFOL
7360;CA;SANT DOMENEC
6880;PL;SANT FRANCESC
7772;CA;SANT FRANCESC - SUCHS
6900;CA;SANT FRANCESC DE SALES
6890;CA;SANT FRANCESC XAVIER
6891;TR;SANT FRANCESC XAVIER
6930;CA;SANT HILARI
6940;CA;SANT IGNASI DE LOIOLA
6960;CA;SANT ISIDRE
6965;CA;SANT ISIDRE LLAURADOR
7750;CA;SANT ISIDRE LLAURADOR - SUCHS
6970;CA;SANT JAUME
6980;PG;SANT JERONI
7040;CA;SANT JOAN
2340;PL;SANT JOAN
7050;CA;SANT JOAN BAPTISTA
7060;CA;SANT JOAN DE MATA
6990;PG;SANT JORDI
7000;PL;SANT JORDI
65;TR;SANT JORDI
7760;CA;SANT JORDI - SUCHS
7765;TR;SANT JORDI - SUCHS
7020;PL;SANT JOSEP
7030;CA;SANT JOSEP OBRER
7070;PD;SANT JUST
7100;CA;SANT LLEIR
7080;PL;SANT LLORENÇ
7090;CA;SANT LLUIS GONZAGA
7110;CA;SANT MARTI
7130;CA;SANT PASCUAL BAILON
7120;CA;SANT PAU
7140;CA;SANT PAULI DE NOLA
7150;AV;SANT PERE
7160;PL;SANT PERE
7170;CA;SANT PERE CLAVER
7180;CA;SANT PERE NOLASC
7190;CA;SANT RAMON
7200;CA;SANT ROC
7205;PG;SANT ROC
7210;AV;SANT RUF
7220;CA;SANT SALVADOR
7230;CA;SANT VICENC DE PAUL
7245;PG;SANTA ANNA
7250;CA;SANTA CECILIA
7255;PQ;SANTA CECILIA
7260;CA;SANTA COLOMA
7270;CA;SANTA FE
7280;PG;SANTA ISABEL
7290;CA;SANTA LLUCIA
7320;GR;SANTA MARIA DE GARDENY
7330;PL;SANTA MARIA MAGDALENA
1650;CA;SANTA MARTA
7340;CA;SANTA TERESA DE JESUS
6730;PG;SANTANDER
7370;CA;SAPORTA
7380;CA;SARACIBAR
8800;CA;SARAGOSSA
8810;CT;SARAGOSSA
8790;CA;SARROCA
7400;CA;SATURN
7410;CA;SCALA DEI
7415;CA;SEBASTIA GRACIA
7430;CA;SEGARRA
7470;PS;SEGON PASSEIG DE RONDA
7440;CA;SEGOVIA
7450;AV;SEGRE
7460;CA;SEGRIA
7465;PG;SEGRIA
7480;CA;SEMINARI
7490;PL;SEMINARI
7495;TR;SEQUIA MAJOR
7530;CA;SERRA D'ALMENARA
7540;CA;SERRA DE PRADES
7550;CA;SERRA DEL CADI
7555;CA;SERRA DEL COSCOLLAR
7560;CA;SERRA DEL MONTSEC
7565;CA;SERRA NEVADA
7510;PD;SERRALONGA
7515;CA;SERRANIA DE RONDA
7500;CA;SEU VELLA E.POBLACIO
7518;CA;SEVILLA
7520;CA;SICORIS
7570;CA;SIFO
8210;CA;SIMEO MIQUEL
5355;CA;SIMONE DE BEAUVOIR
7580;PL;SOCIAL
7800;CA;SOL
7590;CA;SOLDEVILA
7420;CA;SOLIDARITAT
7600;CA;SOLSONA
7601;PD;SOT DE FONTANET
7628;CA;SUCHS
7770;CA;SUCHS - SUQUETS
7790;CA;SUDANELL
5160;CA;SUNYER
7769;CA;SUQUETS - SUCHS
6130;PD;SUQUETS BAIX
8718;CA;T
7900;CA;TALLADA
7910;CA;TAMARIT DE LLITERA
6395;CA;TANCAT - RAIMAT
7920;CA;TAQUIGRAF MARTI
7930;CA;TARRAGONA
7935;CT;TARRAGONA
7950;CA;TEMPLERS
7955;CA;TERESA PAMIES
2990;PD;TERME DE GREALO
8105;CA;TERMENS
7980;CA;TEROL
5145;CA;TERRASSA
7940;CA;TEULERIES
5600;CA;TIL.LER
8000;CA;TIMBALERS
8015;PL;TIURANA
8005;PG;TOLEDO
8014;CA;TON SIRERA
8030;PL;TORRE ABIZANDA
8025;CA;TORRE GILABERT - LLIVIA
8075;PS;TORRE PATRIOT
8200;AV;TORRE SALSES
8035;AV;TORRE VICENS
8023;CT;TORREFARRERA
8024;CA;TORREGROSSA
8045;CA;TORRELAMEU
4210;CA;TORRES DE SANUI
8040;PD;TORRES DE SANUI
8050;CA;TORRES DE SEGRE
8020;AV;TORTOSA
4428;CA;TOSSAL STA.FE - LLIVIA
8066;PL;TRAGO DE NOGUERA
8070;CA;TRANSFORMADOR
6452;CA;TRAVESSERA DE L'ESTACIO-RAIMAT
8060;PL;TREBALL
8085;CA;TREMP
2140;PL;TRETZE ROSES
8095;CA;TRIANA
8100;CA;TRINITARIS
5320;CA;TUIA
8315;PL;TURO DE GARDENY
8110;CA;TURULL
8721;CA;U
8220;CA;UNIO
8230;CA;UNIVERSITAT
7810;CA;URA
8235;UR;URBAN.FUNDACIO FELIP
8236;UR;URBAN.LLEIDA PARK
6460;CA;URGELL - RAIMAT
1805;PL;UTXESA
8719;CA;V
8340;AV;VALENCIA
6405;CA;VALENCIA - RAIMAT
3300;CA;VALENTI ALMIRALL
8362;CA;VALL D'ANEU
5165;CA;VALL D'ASSUA
8366;PG;VALL D'ISIL
8364;CA;VALL DE BOI
5155;CA;VALL DE CABO
8363;PG;VALL DE CARDOS
8367;CA;VALL FERRERA
5170;CA;VALL FOSCA
8345;CA;VALLADOLID
8350;CA;VALLCALENT
8360;PD;VALLCALENT
6415;CA;VALLES - RAIMAT
8115;CA;VALLFOGONA DE BALAGUER
8225;CA;VALLS
3200;CA;VALLS D'ANDORRA
8370;CA;VEGUER CARCASSONA
8245;CA;VENDRELL
8380;CA;VENUS
4438;CA;VERDEROL - LLIVIA
8440;CA;VERGE BLANCA
8441;TR;VERGE BLANCA
8450;CA;VERGE DE BEGONYA
8500;CA;VERGE DE LA SALUT
8470;CA;VERGE DE MONTSERRAT
6400;CA;VERGE DE MONTSERRAT - RAIMAT
8480;CA;VERGE DE NURIA
8481;TR;VERGE DE NURIA
8387;CA;VERGE DEL BLAU
8490;CA;VERGE DEL PILAR
8460;CA;VERGE DELS DESEMPARATS
8510;CA;VESCOMTE ARNAU
2392;CA;VESSADOR
5140;CA;VIC
8385;CA;VICENÇ XIMENEZ
5305;PL;VICTIMES DEL TERRORISME
8375;PL;VICTOR MATEU I MOLES
8560;PL;VICTOR SIURANA
8555;AV;VICTOR TORRES
8540;CA;VICTORIA KENT
8165;AV;VICTORIANO MUÑOZ
5310;PL;VICTORINA VILA
8410;CA;VIDAL I CODINA
4770;CA;VILA ANTONIA
8420;CA;VILA DE FOIX
4775;TR;VILA MONTCADA
925;CA;VILA-RODONA
8240;CA;VILA-SECA
8565;CA;VILALLER
4785;CA;VILANOVA DE FONTANET
5755;CA;VILANOVA DE LA BARCA
7640;CA;VILOT - SUCHS
7645;TR;VILOT - SUCHS
8630;CA;VIMBODI
8640;CA;VINAIXA
8430;PD;VINATESA TERME RURAL
8595;CA;VINYA - RAIMAT
8435;CA;VIOLANT D'HONGRIA
115;CA;VIRGINIA WOOLF
8530;CA;VITORIA
8545;PL;VOLUNTARIAT
3210;GR;VORAVIA
8400;PL;WIFRED I
8550;CA;XAVIER PUIG ANDREU
8515;CA;XILE
8520;PG;XOPERA
8535;CA;YEHUDI MENUHIN
8720;CA;Z
8525;JA;ZOE ROSINACH
6035;JA;1R. DE MAIG
